noise,parallel_type,graph,threads,resolution,mean,std,max,min
ComplexNoise,sequential,False,0,1024x768,19456625.6,31596.348840403134,19532255,19424188
PerlinNoise,sequential,False,0,1024x768,1222611.0,133129.97505111728,1454404,1135203
RidgedNoise,sequential,False,0,1024x768,10334417.2,22698.832744340747,10387007,10305305
ComplexNoise,parallel,False,10,1024x786,32316512.1,79683.26887509732,32483204,32197897
ComplexNoise,parallel,True,10,1024x786,5285724.65,32289.645789120113,5360734,5205848
ComplexNoise,parallel,False,12,1024x786,33799052.6,159227.46862087122,34204896,33570629
ComplexNoise,parallel,True,12,1024x786,5640596.7,57060.56391432749,5850803,5591330
ComplexNoise,parallel,False,14,1024x786,33959046.5,290031.14275185583,34271360,33435082
ComplexNoise,parallel,True,14,1024x786,5551027.35,41795.695477524954,5642759,5491078
ComplexNoise,parallel,False,16,1024x786,33675592.95,102074.95226984975,33936679,33480087
ComplexNoise,parallel,True,16,1024x786,5620317.7,86250.78728006822,5855816,5540778
ComplexNoise,parallel,False,18,1024x786,33609000.55,76170.71334179146,33741746,33482966
ComplexNoise,parallel,True,18,1024x786,5580648.35,41011.36484115361,5663221,5524840
ComplexNoise,parallel,False,1,1024x786,33934731.05,237886.69799064452,34273663,33617746
ComplexNoise,parallel,True,1,1024x786,5584418.7,47782.23386100077,5695996,5523710
ComplexNoise,parallel,False,20,1024x786,33878556.3,201441.8801295197,34471359,33612684
ComplexNoise,parallel,True,20,1024x786,5569548.4,24821.80990559459,5608209,5518460
ComplexNoise,parallel,False,22,1024x786,33800276.5,79875.03064524574,33959313,33649399
ComplexNoise,parallel,True,22,1024x786,5578213.2,34174.669244308636,5641209,5500995
ComplexNoise,parallel,False,24,1024x786,33741933.25,77166.43898324753,33886468,33569492
ComplexNoise,parallel,True,24,1024x786,5578290.8,31179.260123560205,5648987,5519390
ComplexNoise,parallel,False,2,1024x786,21305654.95,84617.11216786441,21581665,21200800
ComplexNoise,parallel,True,2,1024x786,3382823.0,28589.029454633375,3447272,3345902
ComplexNoise,parallel,False,4,1024x786,26006884.4,86182.38791283224,26156427,25873138
ComplexNoise,parallel,True,4,1024x786,4140190.35,33207.37106074176,4209572,4077561
ComplexNoise,parallel,False,6,1024x786,28996545.8,62264.627480828276,29090667,28888991
ComplexNoise,parallel,True,6,1024x786,4656796.95,21767.912242987866,4700077,4620051
ComplexNoise,parallel,False,8,1024x786,31048987.85,43075.17220086544,31139294,31000011
ComplexNoise,parallel,True,8,1024x786,5063092.4,38648.869072308196,5169840,5004517
ComplexNoise,sequential,False,0,1024x786,33828021.05,131046.11541561881,34094403,33646016
PerlinNoise,parallel,False,10,1024x786,1909921.3,19703.841965998727,1967007,1878405
PerlinNoise,parallel,True,10,1024x786,2426884.75,23166.375290323373,2485438,2393893
PerlinNoise,parallel,False,12,1024x786,1978154.2,39005.75648555641,2089606,1950343
PerlinNoise,parallel,True,12,1024x786,2531096.2,51681.795602462735,2738582,2491543
PerlinNoise,parallel,False,14,1024x786,1993124.55,91082.45745388886,2369204,1950765
PerlinNoise,parallel,True,14,1024x786,2546841.5,40749.35413307993,2644575,2500453
PerlinNoise,parallel,False,16,1024x786,1973040.4,30878.747481756855,2069024,1948862
PerlinNoise,parallel,True,16,1024x786,2520670.05,52123.81709825275,2727907,2484600
PerlinNoise,parallel,False,18,1024x786,1970275.35,23602.32946860832,2030819,1944792
PerlinNoise,parallel,True,18,1024x786,2534741.5,61361.12363232157,2759122,2487385
PerlinNoise,parallel,False,1,1024x786,1161612.3,3579.9511625601526,1169683,1154929
PerlinNoise,parallel,True,1,1024x786,1397649.25,3367.843162290886,1403198,1391476
PerlinNoise,parallel,False,20,1024x786,1983440.6,44208.6937692005,2151610,1948560
PerlinNoise,parallel,True,20,1024x786,2524882.3,49856.537619242554,2684900,2488782
PerlinNoise,parallel,False,22,1024x786,1971688.2,24423.230864335528,2039477,1946149
PerlinNoise,parallel,True,22,1024x786,2523716.3,39332.717910424806,2633272,2485188
PerlinNoise,parallel,False,24,1024x786,1972321.8,26857.715325101846,2040293,1942559
PerlinNoise,parallel,True,24,1024x786,2527920.3,42260.50995295976,2645481,2490080
PerlinNoise,parallel,False,2,1024x786,1265745.4,17641.02056183706,1316071,1227228
PerlinNoise,parallel,True,2,1024x786,1562587.15,27537.3058714996,1648535,1529293
PerlinNoise,parallel,False,4,1024x786,1538172.35,20678.182520345854,1593636,1517235
PerlinNoise,parallel,True,4,1024x786,1906132.4,31442.844115030453,1985959,1858314
PerlinNoise,parallel,False,6,1024x786,1722341.25,32677.57567648043,1824893,1690326
PerlinNoise,parallel,True,6,1024x786,2120226.9,25045.878862389192,2168746,2073195
PerlinNoise,parallel,False,8,1024x786,1839266.35,21353.74857335851,1882566,1803915
PerlinNoise,parallel,True,8,1024x786,2293721.65,28834.006511455038,2358499,2238720
PerlinNoise,sequential,False,0,1024x786,1181939.1,76659.16095762016,1498082,1153418
RidgedNoise,parallel,False,10,1024x786,16872469.25,67970.05468886938,17090289,16796864
RidgedNoise,parallel,True,10,1024x786,2635425.7,24090.832401558902,2692251,2601571
RidgedNoise,parallel,False,12,1024x786,17697004.4,76849.71503792662,17860791,17594283
RidgedNoise,parallel,True,12,1024x786,2788842.15,51886.50939895547,2984305,2749099
RidgedNoise,parallel,False,14,1024x786,17759796.25,68953.36445123426,17870048,17638856
RidgedNoise,parallel,True,14,1024x786,2805139.9,33997.66335144071,2884909,2753341
RidgedNoise,parallel,False,16,1024x786,17701002.9,160935.40348386925,18130079,17544665
RidgedNoise,parallel,True,16,1024x786,2773538.65,24392.3216311048,2832311,2737808
RidgedNoise,parallel,False,18,1024x786,17573362.2,51400.23364333545,17651211,17449216
RidgedNoise,parallel,True,18,1024x786,2778030.5,32495.604945738025,2864052,2746163
RidgedNoise,parallel,False,1,1024x786,17429666.6,80098.04044084447,17634022,17318798
RidgedNoise,parallel,True,1,1024x786,2804428.8,26699.002298725853,2867575,2768846
RidgedNoise,parallel,False,20,1024x786,17559403.35,63541.69385469422,17733976,17475321
RidgedNoise,parallel,True,20,1024x786,2786952.05,40793.79667815219,2889870,2737134
RidgedNoise,parallel,False,22,1024x786,17827050.85,367646.69826289464,18983756,17521215
RidgedNoise,parallel,True,22,1024x786,2786387.55,28285.137915380674,2883015,2760261
RidgedNoise,parallel,False,24,1024x786,17679411.95,124785.34047567027,18001077,17521094
RidgedNoise,parallel,True,24,1024x786,2797728.0,28523.387548872204,2848150,2752877
RidgedNoise,parallel,False,2,1024x786,11311869.75,80137.34679376862,11562411,11221539
RidgedNoise,parallel,True,2,1024x786,1712799.15,20498.245389031406,1748293,1684474
RidgedNoise,parallel,False,4,1024x786,13670284.45,53957.14838596214,13773037,13592938
RidgedNoise,parallel,True,4,1024x786,2085849.3,19539.57769596984,2120886,2052059
RidgedNoise,parallel,False,6,1024x786,15265110.75,53316.55665913584,15369344,15193689
RidgedNoise,parallel,True,6,1024x786,2333160.2,21206.98803051286,2372340,2284981
RidgedNoise,parallel,False,8,1024x786,16291898.5,61242.025449075925,16432351,16191960
RidgedNoise,parallel,True,8,1024x786,2513089.2,24816.837477385132,2566957,2476142
RidgedNoise,sequential,False,0,1024x786,17468543.0,146229.89922433064,17923900,17274887
ComplexNoise,parallel,False,10,1920x1080,83532618.8,151936.44315880036,83760609,83222371
ComplexNoise,parallel,True,10,1920x1080,13723237.9,47317.70534310431,13826183,13646187
ComplexNoise,omp,False,unknown,1920x1080,10746941.25,198257.88825479304,11439249,10605288
ComplexNoise,parallel,False,12,1920x1080,87482972.6,361656.07069357455,88229422,87076282
ComplexNoise,parallel,True,12,1920x1080,14531490.4,100342.84145311119,14844105,14377594
ComplexNoise,parallel,False,14,1920x1080,87705169.15,221005.85071114128,88011100,87307366
ComplexNoise,parallel,True,14,1920x1080,14566955.85,135751.22272795267,14982142,14420868
ComplexNoise,parallel,False,16,1920x1080,87476135.5,533480.9982610736,89214328,86902051
ComplexNoise,parallel,True,16,1920x1080,14383541.45,48765.40158811367,14449890,14292087
ComplexNoise,parallel,False,18,1920x1080,86781759.1,219051.21729017,87370056,86382500
ComplexNoise,parallel,True,18,1920x1080,14426127.8,96588.11383645615,14614778,14268826
ComplexNoise,parallel,False,1,1920x1080,87045420.4,229653.08695609376,87782663,86733569
ComplexNoise,parallel,True,1,1920x1080,14427813.25,60173.054159932835,14568633,14324496
ComplexNoise,parallel,False,20,1920x1080,86719554.5,1230942.7859139643,88477174,85441203
ComplexNoise,parallel,True,20,1920x1080,14194921.05,57719.890167925376,14397471,14130124
ComplexNoise,parallel,False,22,1920x1080,85954966.25,245380.8983152251,86650134,85678021
ComplexNoise,parallel,True,22,1920x1080,14315523.4,117427.76623027273,14545355,14165825
ComplexNoise,parallel,False,24,1920x1080,85824724.45,154927.16886992418,86135555,85586628
ComplexNoise,parallel,True,24,1920x1080,14245808.55,58886.10762844618,14367546,14109837
ComplexNoise,parallel,False,2,1920x1080,55352049.0,98665.60124187687,55558762,55167989
ComplexNoise,parallel,True,2,1920x1080,8823912.85,90631.7630235989,9132544,8733595
ComplexNoise,parallel,False,4,1920x1080,67193316.3,108581.10734624529,67420264,67058653
ComplexNoise,parallel,True,4,1920x1080,10790624.15,94239.55984967526,11116375,10665924
ComplexNoise,parallel,False,6,1920x1080,74774862.3,97960.06034152792,74955383,74545751
ComplexNoise,parallel,True,6,1920x1080,12077545.2,49299.61401962708,12169812,11989174
ComplexNoise,parallel,False,8,1920x1080,80493038.15,127287.26159206935,80839853,80329947
ComplexNoise,parallel,True,8,1920x1080,13111747.15,48378.6788491257,13204316,13021967
ComplexNoise,sequential,False,0,1920x1080,87395548.4,777434.2390509817,90189064,86749690
PerlinNoise,parallel,False,10,1920x1080,4983166.2,20977.74165909642,5035292,4943295
PerlinNoise,parallel,True,10,1920x1080,6210195.8,42715.54404195269,6344423,6117380
PerlinNoise,omp,False,unknown,1920x1080,643760.95,50141.071719777734,796189,598535
PerlinNoise,parallel,False,12,1920x1080,5203004.9,30353.20573011584,5280065,5145122
PerlinNoise,parallel,True,12,1920x1080,6582801.8,71450.24628855198,6767163,6467652
PerlinNoise,parallel,False,14,1920x1080,5165892.55,71133.49642118425,5391529,5095925
PerlinNoise,parallel,True,14,1920x1080,6521487.4,54283.20675513794,6652002,6446090
PerlinNoise,parallel,False,16,1920x1080,5214371.5,69860.74985848258,5436126,5145805
PerlinNoise,parallel,True,16,1920x1080,6534792.45,52743.657311342344,6705815,6485009
PerlinNoise,parallel,False,18,1920x1080,5210041.95,79586.98429522188,5414108,5135983
PerlinNoise,parallel,True,18,1920x1080,6533547.95,74122.52360324195,6762168,6455414
PerlinNoise,parallel,False,1,1920x1080,3111141.75,259392.8053047763,4176914,3015897
PerlinNoise,parallel,True,1,1920x1080,3751171.35,475056.3145949702,5083316,3545937
PerlinNoise,parallel,False,20,1920x1080,5172518.45,65504.509993768246,5364509,5122164
PerlinNoise,parallel,True,20,1920x1080,6510464.65,57447.33196248452,6705134,6446507
PerlinNoise,parallel,False,22,1920x1080,5173538.85,58851.6183431509,5354709,5121845
PerlinNoise,parallel,True,22,1920x1080,6508795.25,51826.09694665116,6678982,6424571
PerlinNoise,parallel,False,24,1920x1080,5174350.25,93698.20372702484,5539800,5108693
PerlinNoise,parallel,True,24,1920x1080,6453616.85,33253.423195807576,6572162,6402757
PerlinNoise,parallel,False,2,1920x1080,3410843.0,198485.30837292402,3880943,3260066
PerlinNoise,parallel,True,2,1920x1080,4003997.2,104034.52577900837,4418553,3923613
PerlinNoise,parallel,False,4,1920x1080,4050939.25,36402.45833641199,4158749,4015537
PerlinNoise,parallel,True,4,1920x1080,4931315.05,134709.44765346873,5392613,4831938
PerlinNoise,parallel,False,6,1920x1080,4487178.6,66764.23482863135,4751497,4428245
PerlinNoise,parallel,True,6,1920x1080,5556201.75,193872.92989586736,6130874,5428056
PerlinNoise,parallel,False,8,1920x1080,4809857.55,22313.616200534078,4879604,4778073
PerlinNoise,parallel,True,8,1920x1080,5947349.55,48597.24992162352,6070264,5881679
PerlinNoise,sequential,False,0,1920x1080,3152808.7,490405.54644424,5128808,3006270
RidgedNoise,parallel,False,10,1920x1080,43844966.85,93620.18107071336,44044119,43664884
RidgedNoise,parallel,True,10,1920x1080,6831083.85,32336.562095161113,6905917,6787701
RidgedNoise,omp,False,unknown,1920x1080,5478168.0,377246.25037319004,6666241,5259312
RidgedNoise,parallel,False,12,1920x1080,45017634.35,104310.17706783785,45244022,44750441
RidgedNoise,parallel,True,12,1920x1080,7072839.5,31395.147666478653,7166077,7034011
RidgedNoise,parallel,False,14,1920x1080,45054820.8,142227.44295691728,45456977,44816053
RidgedNoise,parallel,True,14,1920x1080,7107950.25,182557.78170151036,7852588,7007989
RidgedNoise,parallel,False,16,1920x1080,57349316.25,8654786.98383558,74567825,44883760
RidgedNoise,parallel,True,16,1920x1080,9354585.65,1264884.573097036,11254120,7174328
RidgedNoise,parallel,False,18,1920x1080,49939732.85,5261331.302705751,64419436,45225958
RidgedNoise,parallel,True,18,1920x1080,7230052.3,84527.70255590144,7523648,7151439
RidgedNoise,parallel,False,1,1920x1080,44910726.1,190166.29965953488,45652873,44774344
RidgedNoise,parallel,True,1,1920x1080,7067337.7,32699.79346321383,7138786,7009836
RidgedNoise,parallel,False,20,1920x1080,46074038.35,174942.30543698656,46377321,45724848
RidgedNoise,parallel,True,20,1920x1080,7201647.0,70877.87548200147,7435516,7127753
RidgedNoise,parallel,False,22,1920x1080,45882344.8,278552.22800110385,46460691,45434611
RidgedNoise,parallel,True,22,1920x1080,7197048.0,58962.810823522705,7314822,7071602
RidgedNoise,parallel,False,24,1920x1080,45807213.6,188527.16519388423,46139431,45555520
RidgedNoise,parallel,True,24,1920x1080,7360457.55,392344.78126159386,8592661,7126624
RidgedNoise,parallel,False,2,1920x1080,29471975.0,402343.9812469974,31045741,29186327
RidgedNoise,parallel,True,2,1920x1080,4418892.85,36809.88743355584,4525041,4370997
RidgedNoise,parallel,False,4,1920x1080,35352442.2,80315.47655772664,35540984,35252452
RidgedNoise,parallel,True,4,1920x1080,5417356.95,53890.18353190711,5583367,5308807
RidgedNoise,parallel,False,6,1920x1080,39475187.9,301488.32236561266,40730475,39317270
RidgedNoise,parallel,True,6,1920x1080,6030493.5,37471.29257880378,6128793,5981378
RidgedNoise,parallel,False,8,1920x1080,42258594.5,91914.44512697664,42425591,42115303
RidgedNoise,parallel,True,8,1920x1080,6525802.6,26441.084320468122,6582836,6478606
RidgedNoise,sequential,False,0,1920x1080,44925971.8,133876.70512220915,45347095,44765753
ComplexNoise,sequential,False,0,2560x1440,89942276.0,53285.37793387183,90003792,89864835
PerlinNoise,sequential,False,0,2560x1440,5391796.6,273004.54096435016,6168202,5292108
RidgedNoise,sequential,False,0,2560x1440,47362780.8,60149.48261308839,47524502,47315295
ComplexNoise,parallel,False,10,640x480,12501301.25,35840.50489522625,12607990,12446592
ComplexNoise,parallel,True,10,640x480,2064489.7,18853.074478017752,2105754,2035051
ComplexNoise,parallel,False,12,640x480,13019861.5,63284.86554128837,13168366,12952959
ComplexNoise,parallel,True,12,640x480,2165562.05,31354.839026309626,2281455,2141141
ComplexNoise,parallel,False,14,640x480,13005785.95,55993.32476425438,13166526,12939251
ComplexNoise,parallel,True,14,640x480,2171834.75,27586.90287813938,2263424,2142799
ComplexNoise,parallel,False,16,640x480,13048113.35,70577.17405960282,13195151,12951072
ComplexNoise,parallel,True,16,640x480,2153158.05,29611.14474310928,2217076,2112366
ComplexNoise,parallel,False,18,640x480,13027765.35,75551.59032028171,13221014,12928447
ComplexNoise,parallel,True,18,640x480,2168906.45,39742.197612897944,2274192,2110278
ComplexNoise,parallel,False,1,640x480,12934518.15,90849.44996807977,13184593,12821355
ComplexNoise,parallel,True,1,640x480,2134639.5,29460.4947532329,2226836,2110953
ComplexNoise,parallel,False,20,640x480,13080493.4,107557.91027378301,13474387,12988128
ComplexNoise,parallel,True,20,640x480,2146391.0,37328.307410131296,2283834,2104176
ComplexNoise,parallel,False,22,640x480,13089211.45,130271.9055512152,13582040,12989114
ComplexNoise,parallel,True,22,640x480,2167464.5,46396.252070160735,2279144,2107917
ComplexNoise,parallel,False,24,640x480,13107572.3,116092.52455243575,13518770,12977562
ComplexNoise,parallel,True,24,640x480,2154274.45,31767.9701743339,2258025,2107242
ComplexNoise,parallel,False,2,640x480,8381133.8,479829.4891096431,10093462,8128999
ComplexNoise,parallel,True,2,640x480,1306710.8,37957.240676152534,1438847,1268680
ComplexNoise,parallel,False,4,640x480,10042890.65,108867.80603160059,10379053,9897913
ComplexNoise,parallel,True,4,640x480,1605365.05,18220.101465645603,1641284,1575024
ComplexNoise,parallel,False,6,640x480,11192239.85,84681.66351961916,11514969,11105149
ComplexNoise,parallel,True,6,640x480,1796861.05,17209.419343930902,1831083,1759155
ComplexNoise,parallel,False,8,640x480,12041783.25,94915.41710601021,12314778,11966149
ComplexNoise,parallel,True,8,640x480,1951210.35,17149.969922560704,1995692,1916556
ComplexNoise,sequential,False,0,640x480,12951874.05,46411.414396250904,13046647,12889044
PerlinNoise,parallel,False,10,640x480,754029.55,33414.82896067332,883418,731414
PerlinNoise,parallel,True,10,640x480,957560.9,29894.661371485534,1048181,931035
PerlinNoise,parallel,False,12,640x480,799495.5,26916.489869497043,861718,778201
PerlinNoise,parallel,True,12,640x480,1016239.0,23707.472741510715,1087231,990965
PerlinNoise,parallel,False,14,640x480,790783.95,23301.36611869288,848904,764518
PerlinNoise,parallel,True,14,640x480,1008842.4,16096.075950040547,1058119,993980
PerlinNoise,parallel,False,16,640x480,786708.1,16871.86970545632,845724,768059
PerlinNoise,parallel,True,16,640x480,1009477.65,37250.50609938778,1109954,967917
PerlinNoise,parallel,False,18,640x480,793483.85,40617.19854585195,907673,755699
PerlinNoise,parallel,True,18,640x480,1001169.25,30881.40060887442,1093872,973014
PerlinNoise,parallel,False,1,640x480,459243.85,39116.29755011263,591889,440377
PerlinNoise,parallel,True,1,640x480,538642.1,2975.909465586684,545495,535456
PerlinNoise,parallel,False,20,640x480,773030.95,15020.356543091078,810282,759569
PerlinNoise,parallel,True,20,640x480,1024377.45,95996.45062817633,1341087,973225
PerlinNoise,parallel,False,22,640x480,848635.6,103678.7064264048,1072748,760511
PerlinNoise,parallel,True,22,640x480,993738.8,18646.870691605967,1039057,970553
PerlinNoise,parallel,False,24,640x480,776238.15,20678.015297908216,853646,757029
PerlinNoise,parallel,True,24,640x480,992155.6,22277.155259663607,1050512,969329
PerlinNoise,parallel,False,2,640x480,485523.7,19055.50662807556,520919,443744
PerlinNoise,parallel,True,2,640x480,606897.15,16121.404993868115,651171,582812
PerlinNoise,parallel,False,4,640x480,589496.75,8294.157460938519,602658,574511
PerlinNoise,parallel,True,4,640x480,737362.85,13578.784498253148,768635,710701
PerlinNoise,parallel,False,6,640x480,668879.3,38233.03135840305,811382,636925
PerlinNoise,parallel,True,6,640x480,855981.15,68393.79754217099,1031857,778919
PerlinNoise,parallel,False,8,640x480,788328.2,63360.19431256753,914500,705543
PerlinNoise,parallel,True,8,640x480,917304.8,23423.255671953124,966506,859719
PerlinNoise,sequential,False,0,640x480,631439.5,71257.50660105923,758055,473379
RidgedNoise,parallel,False,10,640x480,6551069.85,28059.930692180977,6611859,6505947
RidgedNoise,parallel,True,10,640x480,1019674.4,15370.346369415018,1072729,1001927
RidgedNoise,parallel,False,12,640x480,6870593.05,67567.35344861452,7084690,6814813
RidgedNoise,parallel,True,12,640x480,1078408.35,28093.438101178304,1157498,1044230
RidgedNoise,parallel,False,14,640x480,6822757.05,32159.02459157583,6908369,6777591
RidgedNoise,parallel,True,14,640x480,1083757.4,38095.636606613596,1221089,1052453
RidgedNoise,parallel,False,16,640x480,6858312.6,104809.17013787237,7231814,6767107
RidgedNoise,parallel,True,16,640x480,1070764.65,27804.372477562818,1167501,1044924
RidgedNoise,parallel,False,18,640x480,6798158.35,35717.543272142444,6891251,6758770
RidgedNoise,parallel,True,18,640x480,1070489.3,22428.667844383537,1145552,1044239
RidgedNoise,parallel,False,1,640x480,6837722.2,90218.92817538785,7151864,6758616
RidgedNoise,parallel,True,1,640x480,1079106.9,14485.988300495941,1120370,1060703
RidgedNoise,parallel,False,20,640x480,6839927.8,112421.19600230856,7273057,6737799
RidgedNoise,parallel,True,20,640x480,1078601.35,25929.955593513438,1164584,1048583
RidgedNoise,parallel,False,22,640x480,6764587.8,38890.027136718956,6868363,6720674
RidgedNoise,parallel,True,22,640x480,1070659.15,17713.248447285525,1113910,1043350
RidgedNoise,parallel,False,24,640x480,6772585.45,37863.3234152788,6848234,6722691
RidgedNoise,parallel,True,24,640x480,1076971.85,21296.97114188825,1127473,1041682
RidgedNoise,parallel,False,2,640x480,4437543.2,168431.1955480557,5036670,4342399
RidgedNoise,parallel,True,2,640x480,658380.65,16850.845505180852,683950,627756
RidgedNoise,parallel,False,4,640x480,5323043.55,31180.176994661542,5381582,5271608
RidgedNoise,parallel,True,4,640x480,805479.55,13122.781169742462,840117,784436
RidgedNoise,parallel,False,6,640x480,5910377.8,27471.750934943677,5982666,5876267
RidgedNoise,parallel,True,6,640x480,898009.65,20601.64573465712,954202,869416
RidgedNoise,parallel,False,8,640x480,6338188.2,68895.24235013772,6574449,6260269
RidgedNoise,parallel,True,8,640x480,968151.55,17027.443710468047,1003346,937748
RidgedNoise,sequential,False,0,640x480,6998768.1,404275.34688025113,8135497,6753264
